week_start_date,week_end_date,review_id,title,text,date,program_tag
2025-11-24,2025-11-30,2d793349-453b-4c30-bf5b-981a48251976,,"Reasons for low rating 1. Top Mutual Fund invested info in the stock is missing - fixed thank you Edit 2 22nd Mar: 2. Why do all Indexes like Nifty smallcap 100, Nifty PSE, and Nifty microcap 250 are not shown in the app under indices section? Edit 3 24th Nov - Can we have an option to view family accounts, I keep logging out from one account to check the other?",2025-11-24 18:42:48,com.nextbillion.groww
2025-11-24,2025-11-30,8f721f6b-cc43-427e-99f4-f3bc294a6b95,,so simple.... if it's in mother tongue language then it feels mother teaching .. I advice all stock or investors must use this to manage money... look after their money,2025-11-24 16:25:49,com.nextbillion.groww
2025-11-24,2025-11-30,7a675dd2-ccc8-4d1b-9445-2aa2d648b7b5,,this application is not working properly today I used the application the rvnl share has gone or still showing 328... approximately but the amount showing 324 what is the behaviour and the share is showing on profits but after some time showing profit etc,2025-11-24 15:37:49,com.nextbillion.groww
2025-11-24,2025-11-30,99c4c3f0-f7c3-4e54-907a-d031cb5d4f5a,,"Groww offers mutual funds with competitive returns. Top funds: Groww Value Fund (18.69% 5-year return), ELSS Tax Saver Fund, Largecap Fund. Zero commission, SIP 500. Expense ratios: 0.9%. AUM: 66 Cr (Value Fund). Risk: High. Consult a financial advisor. Check current NAV.",2025-11-24 13:59:42,com.nextbillion.groww
2025-11-24,2025-11-30,037d80b2-7f24-403f-b8f1-9080bd286340,,I have already discontinued using Groww for new stock investments following the introduction of the minimum brokerage fee of 5. I am currently only tracking my previously invested holdings...,2025-11-24 11:57:54,com.nextbillion.groww
2025-11-24,2025-11-30,084571fc-3e09-470f-8218-2a36b5e5d9dc,,good.. please make brokrege charge low and make it easy to operate and please show all dividend history of all stock from starting to end all years.... thankyou grooww teamm....,2025-11-24 09:44:19,com.nextbillion.groww
2025-11-24,2025-11-30,c1c7fa77-8d6e-46aa-9fc4-f10b0435a699,,I seriously think opening an account with Groww was this easy. A clean and smooth UI and hassle free process - all up and running in half an hour. Even the app is so smooth and easy to navigate. Adding funds was also super smooth. Totally recommend it.,2025-11-24 09:39:41,com.nextbillion.groww
